,Date(UTC),ETHPerDay,NetworkDifficulty[TH/s],ETHPriceUSD,TotalBlocks,PowerCoast,Inflação,Multiple_GPUPrice,R$_DollarPrice,ETHPriceBRL,R$_GPUPrice,ETH/dia,USD_Revenue,USD_Coast,USD_Profit/day,USD_Profit/month,Indicador,Multiple_Difficulty/LastDifficulty,USD_GPUPrice,Pays_itself/months,Date
52,2015-09-20,27982.65625,6.202,0.94,5305.0,0.600839,0.6751,,3.9015,3.66741,234.5280841529906,2.909917763902739,10.671861506514544,2.0188190400000003,8.653042466514544,259.5912739954363,0.189172155089122,0.0006255670525271567,60.11228608304258,0.9034513392661792,2015-09-20
53,2015-09-21,26651.875,6.541,0.9,5075.0,0.600839,0.6751,,3.9815,3.5833500000000003,234.5280841529906,2.7469863438123907,9.843413515100131,2.0188190400000003,7.824594475100131,234.73783425300394,0.20509338929052032,0.0006597604144759968,58.904454138638854,0.9991064495389896,2015-09-21
54,2015-09-22,26370.3125,6.624,0.9,5051.0,0.600839,0.6751,,4.0419,3.63771,234.5280841529906,2.6966619825604923,9.80967426058013,2.0188190400000003,7.790855220580129,233.72565661740387,0.20579878458478096,0.0006681322405578662,58.02421736138712,1.0034332026154076,2015-09-22
55,2015-09-23,27080.3125,6.895,0.9,5165.0,0.600839,0.6751,,4.1034,3.69306,234.5280841529906,2.6017047132797524,9.608251608424922,2.0188190400000003,7.589432568424922,227.68297705274765,0.21011304889536972,0.0006954667570420422,57.1545752675807,1.0300642023784552,2015-09-23
56,2015-09-24,26385.78125,7.029,0.81,5021.0,0.600839,0.6751,,4.1942,3.3973020000000007,234.5280841529906,2.557968083345723,8.690190085486593,2.0188190400000003,6.671371045486593,200.14113136459778,0.2323101129135957,0.0007089827172224096,55.91723908087134,1.1718135225574897,2015-09-24
57,2015-09-25,27003.4375,6.977,0.74,5126.0,0.600839,0.6751,,3.9472,2.920928,234.5280841529906,2.5833345738696307,7.545734290183873,2.0188190400000003,5.5269152501838725,165.80745750551617,0.2675444114996536,0.0007037377177494312,59.41631641492466,1.4144604089667572,2015-09-25
58,2015-09-26,25910.3125,7.227,0.78,4930.0,0.600839,0.6751,,3.9472,3.078816,234.5280841529906,2.4881502681374865,7.660556855945984,2.0188190400000003,5.641737815945984,169.2521344783795,0.2635342414348155,0.0007289540613695198,59.41631641492466,1.3856728299219738,2015-09-26
59,2015-09-27,25011.09375,7.253,0.72,4773.0,0.600839,0.6751,,3.9472,2.841984,234.5280841529906,2.471909124839909,7.025126182249025,2.0188190400000003,5.006307142249025,150.18921426747073,0.28737121407173005,0.000731576561106009,59.41631641492466,1.5615507764447152,2015-09-27
60,2015-09-28,24714.21875,6.747,0.59,4738.0,0.600839,0.6751,,4.0093,2.3654869999999995,234.5280841529906,2.645148437061564,6.257064240939447,2.0188190400000003,4.2382452009394465,127.1473560281834,0.32264636613302394,0.0006805386816189498,58.496017796869936,1.844537641042298,2015-09-28
61,2015-09-29,24368.4375,6.057,0.68,4640.0,0.600839,0.6751,,4.1165,2.7992200000000005,234.5280841529906,2.9666141056514834,8.304205536821748,2.0188190400000003,6.285386496821747,188.56159490465242,0.24310802894368858,0.0006109415732275054,56.972691401188044,1.2437743978119271,2015-09-29
62,2015-09-30,25093.75,5.625,0.72,4757.0,0.600839,0.6751,,3.9722,2.859984,234.5280841529906,3.2086239226403204,9.176613080768554,2.0188190400000003,7.157794040768554,214.73382122305662,0.21999609466272946,0.0005673677314519923,59.04236547832199,1.0921804623845095,2015-09-30
63,2015-10-01,27422.03125,5.653,0.68,5210.0,0.600839,0.6751,,3.9788,2.7055840000000004,234.5280841529906,3.185604389224141,8.61892026581461,2.0188190400000003,6.60010122581461,198.0030367744383,0.2342310843746033,0.0005701919619374423,58.94442649869071,1.1844671070381663,2015-10-01
64,2015-10-02,26913.125,5.982,0.68,5143.0,0.600839,0.6751,,4.0003,2.7202040000000003,234.5280841529906,2.9930234803184588,8.141634443256194,2.0188190400000003,6.122815403256194,183.6844620976858,0.24796237832468768,0.0006033766701414789,58.627623966450166,1.2767987094535274,2015-10-02
65,2015-10-03,26453.75,6.291,0.69,5077.0,0.600839,0.6751,,4.0003,2.760207,234.5280841529906,2.833800840447664,7.821876916409525,2.0188190400000003,5.803057876409524,174.09173629228573,0.258099054942263,0.0006345440708559083,58.627623966450166,1.3471523068690474,2015-10-03
66,2015-10-04,25480.15625,6.206,0.67,4886.0,0.600839,0.6751,,4.0003,2.6802010000000003,234.5280841529906,2.875052512133228,7.705718618071991,2.0188190400000003,5.686899578071991,170.60698734215973,0.2619897169960663,0.0006259705140250783,58.627623966450166,1.374668692101305,2015-10-04
67,2015-10-05,26136.875,6.285,0.63,5009.0,0.600839,0.6751,,3.9135,2.465505,234.5280841529906,2.840575098474297,7.003452108163871,2.0188190400000003,4.984633068163871,149.5389920449161,0.2882605619087019,0.0006339388786090262,59.92796324338587,1.568340677878495,2015-10-05
68,2015-10-06,25036.5625,6.276,0.66,4806.0,0.600839,0.6751,,3.8561,2.545026,234.5280841529906,2.8399907620254794,7.227850329114657,2.0188190400000003,5.209031289114657,156.2709386734397,0.27931112959934334,0.000633031090238703,60.82002130468364,1.5007786229727929,2015-10-06
69,2015-10-07,26133.59375,5.984,0.61,5004.0,0.600839,0.6751,,3.8053,2.321233,234.5280841529906,2.986064457257723,6.931351358313716,2.0188190400000003,4.9125323183137155,147.37596954941148,0.2912590829172951,0.0006035784008904396,61.631956521953754,1.5913590585360606,2015-10-07
70,2015-10-08,26782.1875,5.978,0.62,5152.0,0.600839,0.6751,,3.8511,2.3876820000000003,234.5280841529906,2.9752482575863044,7.103946710170184,2.0188190400000003,5.085127670170183,152.5538301051055,0.2841827398718813,0.0006029732086435574,60.898985784059256,1.5373464172705924,2015-10-08
71,2015-10-09,25447.65625,6.123,0.65,4905.0,0.600839,0.6751,,3.738,2.4297,234.5280841529906,2.899034921719431,7.043785149301701,2.0188190400000003,5.024966109301701,150.74898327905103,0.28660996853377047,0.0006175986879432088,62.74159554654644,1.5557523444045809,2015-10-09
72,2015-10-10,25499.6875,6.032,0.63,4896.0,0.600839,0.6751,,3.738,2.35494,234.5280841529906,2.9542078278592605,6.956982182138887,2.0188190400000003,4.938163142138887,148.1448942641666,0.29018602996900666,0.0006084199388654965,62.74159554654644,1.5830993387783492,2015-10-10
73,2015-10-11,26510.78125,6.139,0.63,5073.0,0.600839,0.6751,,3.738,2.35494,234.5280841529906,2.912520285763028,6.858810521754785,2.0188190400000003,4.839991481754785,145.19974445264356,0.29433952630659604,0.0006192125339348944,62.74159554654644,1.6152100338543034,2015-10-11
74,2015-10-12,26800.0,6.145,0.63,5148.0,0.600839,0.6751,,3.738,2.35494,234.5280841529906,2.8985666896163234,6.825950640045065,2.0188190400000003,4.807131600045064,144.21394800135192,0.29575646623584023,0.0006198177261817765,62.74159554654644,1.6262510485517812,2015-10-12
75,2015-10-13,26668.28125,6.357,0.6,5108.0,0.600839,0.6751,,3.8243,2.29458,234.5280841529906,2.8099646410538504,6.447688666069343,2.0188190400000003,4.428869626069343,132.86608878208028,0.31310740089296496,0.0006412011855716117,61.32575481865717,1.7651462935561442,2015-10-13
76,2015-10-14,25875.625,6.482,0.51,4934.0,0.600839,0.6751,,3.8501,1.963551,234.5280841529906,2.7681626535370247,5.435428546515278,2.0188190400000003,3.416609506515278,102.49828519545834,0.37141855931383566,0.0006538093573816559,60.91480329160038,2.2881171495284924,2015-10-14
77,2015-10-15,25610.46875,6.209,0.56,4926.0,0.600839,0.6751,,3.8337,2.146872,234.5280841529906,2.8649060761862124,6.150586637594047,2.0188190400000003,4.131767597594046,123.95302792782138,0.3282319490730255,0.0006262731101485192,61.17538778542677,1.8920722476384988,2015-10-15
78,2015-10-16,25441.40625,5.815,0.53,4883.0,0.600839,0.6751,,3.8432,2.036896,234.5280841529906,3.0655866625555626,6.244281210612775,2.0188190400000003,4.225462170612775,126.76386511838325,0.3233068742273838,0.0005865321526032597,61.024168441140354,1.8501178071051056,2015-10-16
79,2015-10-17,26450.625,6.004,0.55,5056.0,0.600839,0.6751,,3.8432,2.11376,234.5280841529906,2.98124122420496,6.3016284500754765,2.0188190400000003,4.282809410075476,128.4842823022643,0.3203646574840223,0.0006055957083800466,61.024168441140354,1.8253445476019714,2015-10-17
80,2015-10-18,25848.28125,5.974,0.52,4945.0,0.600839,0.6751,,3.8432,1.998464,234.5280841529906,2.9937055653703966,5.982812798992384,2.0188190400000003,3.963993758992384,118.91981276977151,0.33743643798114603,0.000602569747145636,61.024168441140354,1.9721531567413113,2015-10-18
81,2015-10-19,25966.71875,5.922,0.49,4975.0,0.600839,0.6751,,3.9009,1.911441,234.5280841529906,3.0155359777611457,5.764019104867742,2.0188190400000003,3.745200064867742,112.35600194603225,0.3502450292531296,0.0005973247476726575,60.12153199338373,2.0873658735706977,2015-10-19
82,2015-10-20,26192.5,5.835,0.44,4990.0,0.600839,0.6751,,3.865,1.7006000000000001,234.5280841529906,3.0778289123233615,5.234155848297109,2.0188190400000003,3.215336808297109,96.46010424891327,0.3857009799692546,0.0005885494600928668,60.679970026646984,2.4313480270329775,2015-10-20
83,2015-10-21,26046.40625,5.876,0.44,4990.0,0.600839,0.6751,,3.938,1.73272,234.5280841529906,3.0393058479109345,5.266266028792234,2.0188190400000003,3.247446988792234,97.42340966376702,0.38334923244714936,0.0005926849404465613,59.55512548323784,2.407307288488534,2015-10-21
84,2015-10-22,25330.78125,5.734,0.59,4835.0,0.600839,0.6751,,3.9354,2.3218859999999997,234.5280841529906,3.126103450850512,7.258455837081491,2.0188190400000003,5.2396367970814905,157.18910391244472,0.27813340541198844,0.000578362057270351,59.59447175712522,1.4920123489197072,2015-10-22
85,2015-10-23,27558.59375,5.879,0.52,5263.0,0.600839,0.6751,,3.8982,2.027064,234.5280841529906,3.0473978090749427,6.17727039245469,2.0188190400000003,4.15845135245469,124.75354057364069,0.3268140961525521,0.0005929875365700023,60.16317381175686,1.879931287517657,2015-10-23
86,2015-10-24,27115.0,6.288,0.57,5171.0,0.600839,0.6751,,3.8982,2.221974,234.5280841529906,2.8531950794285814,6.339725283418242,2.0188190400000003,4.320906243418242,129.62718730254727,0.31843951429256523,0.0006342414747324672,60.16317381175686,1.809250736927638,2015-10-24
87,2015-10-25,26814.21875,6.589,0.65,5096.0,0.600839,0.6751,,3.8982,2.53383,234.5280841529906,2.7322796628603925,6.923132178145548,2.0188190400000003,4.904313138145548,147.12939414436642,0.29160486728432905,0.0006646019524510539,60.16317381175686,1.5940260307390839,2015-10-25
88,2015-10-26,25915.3125,6.541,0.74,4908.0,0.600839,0.6751,,3.8575,2.8545499999999997,234.5280841529906,2.761955489335839,7.884140042083618,2.0188190400000003,5.8653210020836175,175.95963006250852,0.2560607788831802,0.0006597604144759968,60.797947933374104,1.3328516550624483,2015-10-26
89,2015-10-27,27526.25,6.542,0.87,5220.0,0.600839,0.6751,,3.9108,3.402396,234.5280841529906,2.757877270475126,9.383390593555486,2.0188190400000003,7.364571553555486,220.93714660666456,0.21514814073566602,0.0006598612798504772,59.96933725912616,1.0615149500890497,2015-10-27
90,2015-10-28,26348.4375,6.846,1.01,4967.0,0.600839,0.6751,,3.8791,3.9178910000000005,234.5280841529906,2.651140471899814,10.386879394592036,2.0188190400000003,8.368060354592036,251.04181063776107,0.19436242237019766,0.0006905243536925048,60.459406602817815,0.9342192185324905,2015-10-28
91,2015-10-29,27507.03125,7.04,1.16,5158.0,0.600839,0.6751,,3.9321,4.561236,234.5280841529906,2.5917830917991473,11.821734342505575,2.0188190400000003,9.802915302505575,294.08745907516726,0.17077181583595955,0.0007100922363416936,59.64448619134574,0.7974773385118963,2015-10-29
